Designator,Mid X,Mid Y,Rotation,Layer
C1,186.69,-95.25,270.0,top
C2,188.9252,-95.25,90.0,top
C3,155.956,-77.978,90.0,top
C4,168.402,-107.95,180.0,top
C5,174.244,-107.95,0.0,top
C6,164.846,-72.39,270.0,top
D1,188.4172,-82.55,270.0,top
D2,186.182,-82.55,90.0,top
D3,181.61,-76.708,270.0,top
D4,162.306,-72.898,90.0,top
D5,160.02,-72.898,270.0,top
F1,183.642,-76.2,270.0,top
F2,178.6636,-107.8484,315.0,top
Q1,177.8,-72.239,270.0,top
R1,186.69,-79.248,180.0,top
R2,175.006,-71.882,270.0,top
R3,178.816,-75.438,180.0,top
R4,187.96,-98.552,315.0,top
R5,186.69,-77.216,180.0,top
R6,157.988,-72.39,270.0,top
U1,187.8076,-89.408,180.0,top
U2,170.0,-72.136,90.0,top
